YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,StratificationCategoryID1,StratificationID1
2015,2015,AR,Arkansas,NVSS,Diabetes,"cases per 100,000",Crude Rate,75.4,75.4,71,79.7,Gender,Female,5,GENDER,GENF
2015,2015,MN,Minnesota,NVSS,Diabetes,,Number,2334,"2,334",,,Gender,Female,27,GENDER,GENF
2015,2015,AR,Arkansas,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,67.3,67.3,64.4,70.3,Race/Ethnicity,"White, non-Hispanic",5,RACE,WHT
2015,2015,AK,Alaska,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,53.6,53.6,46,61.2,Race/Ethnicity,"White, non-Hispanic",2,RACE,WHT
2015,2015,MS,Mississippi,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,86.2,86.2,82,90.4,Gender,Female,28,GENDER,GENF
2015,2015,MI,Michigan,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,56,56,54.2,57.8,Gender,Female,26,GENDER,GENF
2015,2015,MA,Massachusetts,NVSS,Diabetes,,Number,94,94,,,Race/Ethnicity,Asian or Pacific Islander,25,RACE,API
2015,2015,MI,Michigan,NVSS,Diabetes,,Number,8552,"8,552",,,Overall,Overall,26,OVERALL,OVR
2015,2015,IA,Iowa,NVSS,Diabetes,"cases per 100,000",Crude Rate,111.2,111.2,107.2,115.1,Race/Ethnicity,"White, non-Hispanic",19,RACE,WHT
2015,2015,DC,District of Columbia,NVSS,Diabetes,,Number,417,417,,,Race/Ethnicity,"Black, non-Hispanic",11,RACE,BLK
2015,2015,FL,Florida,NVSS,Diabetes,,Number,1968,"1,968",,,Race/Ethnicity,Hispanic,12,RACE,HIS
2015,2015,IN,Indiana,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,40.7,40.7,25.2,62.3,Race/Ethnicity,Asian or Pacific Islander,18,RACE,API
2015,2015,IN,Indiana,NVSS,Diabetes,,Number,93,93,,,Race/Ethnicity,Hispanic,18,RACE,HIS
2015,2015,MA,Massachusetts,NVSS,Diabetes,"cases per 100,000",Crude Rate,63.9,63.9,61.7,66.1,Race/Ethnicity,"White, non-Hispanic",25,RACE,WHT
2015,2015,CO,Colorado,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,49.9,49.9,38.1,64.2,Race/Ethnicity,Asian or Pacific Islander,8,RACE,API
2015,2015,KY,Kentucky,NVSS,Diabetes,,Number,28,28,,,Race/Ethnicity,Hispanic,21,RACE,HIS
2015,2015,NH,New Hampshire,NVSS,Diabetes,"cases per 100,000",Crude Rate,82.8,82.8,77.7,87.9,Race/Ethnicity,"White, non-Hispanic",33,RACE,WHT
2015,2015,CT,Connecticut,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,77.7,77.7,67.5,87.9,Race/Ethnicity,"Black, non-Hispanic",9,RACE,BLK
2015,2015,AL,Alabama,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,47.9,47.9,45.5,50.3,Gender,Female,1,GENDER,GENF
2015,2015,AZ,Arizona,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,51.1,51.1,49.3,53,Race/Ethnicity,"White, non-Hispanic",4,RACE,WHT
2015,2015,IL,Illinois,NVSS,Diabetes,,Number,6068,"6,068",,,Race/Ethnicity,"White, non-Hispanic",17,RACE,WHT
2015,2015,FL,Florida,NVSS,Diabetes,,Number,2374,"2,374",,,Race/Ethnicity,"Black, non-Hispanic",12,RACE,BLK
2015,2015,ID,Idaho,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,67,67,63.1,71,Race/Ethnicity,"White, non-Hispanic",16,RACE,WHT
2015,2015,DE,Delaware,NVSS,Diabetes,,Number,169,169,,,Race/Ethnicity,"Black, non-Hispanic",10,RACE,BLK
2015,2015,AK,Alaska,NVSS,Diabetes,"cases per 100,000",Crude Rate,40.9,40.9,26.2,60.8,Race/Ethnicity,Asian or Pacific Islander,2,RACE,API
2015,2015,MT,Montana,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,60.3,60.3,55.9,64.6,Race/Ethnicity,"White, non-Hispanic",30,RACE,WHT
2015,2015,CT,Connecticut,NVSS,Diabetes,,Number,1593,"1,593",,,Race/Ethnicity,"White, non-Hispanic",9,RACE,WHT
2015,2015,MS,Mississippi,NVSS,Diabetes,"cases per 100,000",Crude Rate,112.9,112.9,109.1,116.7,Overall,Overall,28,OVERALL,OVR
2015,2015,NJ,New Jersey,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,51.5,51.5,47,55.9,Race/Ethnicity,Hispanic,34,RACE,HIS
2015,2015,IL,Illinois,NVSS,Diabetes,"cases per 100,000",Age-adjusted Rate,56,56,54.8,57.2,Overall,Overall,17,OVERALL,OVR
2015,2015,MN,Minnesota,NVSS,Diabetes,"cases per 100,000",Crude Rate,101.5,101.5,98.6,104.4,Race/Ethnicity,"White, non-Hispanic",27,RACE,WHT
